Название вакансии,Название компании,Зарплата,Ссылка на вакансию,Требуемые навыки
Backend-разработчик,MST Software,от 250 000 ₽,https://career.habr.com/vacancies/1000155495,Бэкенд разработчик • Средний (Middle) • NestJS • Node.js • PostgreSQL • Объектное хранилище S3 • Swagger • Docker • Git • JavaScript • TypeScript
QA Backend,Т-Банк,,https://career.habr.com/vacancies/1000152553,Инженер по обеспечению качества • Старший (Senior) • Java • Kotlin • Python • Тестирование API • Тестирование ПО • Автоматизация тестирования • Обеспечение качества
Backend-разработчик,Миллениал Групп,от 150 000 ₽,https://career.habr.com/vacancies/1000155223,Бэкенд разработчик • Средний (Middle) • Разработка программного обеспечения
Backend Developer,Medesk,от 100 000 до 140 000 ₽,https://career.habr.com/vacancies/1000075762,Бэкенд разработчик • Младший (Junior) • Golang • JavaScript • MongoDB • PostgreSQL
Backend разработчик,Wanted.,до 250 000 ₽,https://career.habr.com/vacancies/1000147423,Бэкенд разработчик • Средний (Middle) • TypeORM • Docker • NestJS • PostgreSQL
С# Backend developer,Wanted.,до 200 000 ₽,https://career.habr.com/vacancies/1000147060,Бэкенд разработчик • .NET • C# • Apache Kafka • ClickHouse • Greenplum
Backend developer/Разработчик C#,УЦ «Основание»,от 150 000 ₽,https://career.habr.com/vacancies/1000155872,Бэкенд разработчик • Средний (Middle) • C# • RabbitMQ • SQL • PostgreSQL • .NET
Middle+ Backend-разрабтчик,Coral Club,,https://career.habr.com/vacancies/1000155201,Бэкенд разработчик • Старший (Senior) • CMS «1С-Битрикс» • Laravel • Symfony • PHP • RabbitMQ • Redis • Docker
Backend Python Developer Junior+,InCodeWeTrust,от 110 000 до 150 000 ₽,https://career.habr.com/vacancies/1000155716,Бэкенд разработчик • Младший (Junior) • Flask • SQL • Python • Linux • Nginx • SQLalchemy • Git
QA-инженер (backend),Т-Банк,,https://career.habr.com/vacancies/1000153048,Инженер по обеспечению качества • Средний (Middle) • SQL • Функциональное тестирование • Java • Postman
Middle Backend Developer (PHP),Rusprofile,,https://career.habr.com/vacancies/1000155455,Бэкенд разработчик • Средний (Middle) • PHP • MySQL • Linux • Git • Redis • Elasticsearch
Backend Java разработчик Senior,ИТ-Холдинг Т1,,https://career.habr.com/vacancies/1000151033,Бэкенд разработчик • Старший (Senior) • Apache Kafka • Apache Maven • RESTful WebServices. • Java • ООП
Backend PHP Developer,Bnovo,,https://career.habr.com/vacancies/1000155902,Бэкенд разработчик • Средний (Middle) • Git • PHP • Docker • ООП • RabbitMQ • PostgreSQL • Laravel • Redis
Разработчик Node.js (BackEnd) Middle +,Wanted.,от 250 000 до 330 000 ₽,https://career.habr.com/vacancies/1000152407,Бэкенд разработчик • Средний (Middle) • Node.js • NestJS • TypeORM • PostgreSQL
JavaScript веб-разработчик (Backend),TurboProject,от 60 000 ₽,https://career.habr.com/vacancies/1000155783,Веб-разработчик • Средний (Middle) • JavaScript • Next.js • Node.js • PostgreSQL • CSS • HTML
Backend-разработчик PHP,Wanted.,до 3500 €,https://career.habr.com/vacancies/1000152179,Бэкенд разработчик • Средний (Middle) • MySQL • PHP • Elasticsearch • Docker • Symfony • Redis
Intern Backend Developer,YouTeam,,https://career.habr.com/vacancies/1000155260,Бэкенд разработчик • Стажёр (Intern) • Git • Docker • RabbitMQ • SQL • PostgreSQL • MongoDB • Микросервисная архитектура • RESTful API
Senior/Lead Backend Developer (Go),GlobalCareer,,https://career.habr.com/vacancies/1000155949,Бэкенд разработчик • Старший (Senior) • Golang • PostgreSQL • gRPC • Redis • Apache Kafka • RabbitMQ • Prometheus • Kubernetes • Docker • ELK Stack
Java/Kotlin Backend Developer,Okko,,https://career.habr.com/vacancies/1000135556,Бэкенд разработчик • Старший (Senior) • Kotlin • Spring Boot • PostgreSQL • Kubernetes • Java
Backend-разработчик PHP,Wanted.,до 160 000 ₽,https://career.habr.com/vacancies/1000147208,Бэкенд разработчик • Средний (Middle) • PHP • Битрикс24
Node.js Backend developer,Wanted.,,https://career.habr.com/vacancies/1000147155,Бэкенд разработчик • Средний (Middle) • PostgreSQL • TypeScript • Node.js
Серверный backend разработчик gamedev,GD-Team Limited,от 200 000 до 250 000 ₽,https://career.habr.com/vacancies/1000155833,Разработчик игр • Старший (Senior) • Git • SQL • Linux • Базы данных • Алгоритмы и структуры данных • Многопоточность • Проектирование баз данных • Оптимизация кода • Высоконагруженные системы
Backend Python developer,HR Prime,от 300 000 до 3 800 000 ₽,https://career.habr.com/vacancies/1000155506,Бэкенд разработчик • Старший (Senior) • Python • Docker • SQLalchemy • AIOHTTP • Apache Kafka • SQL • PostgreSQL • FastAPI • REST • Redis
Разработчик Backend PHP,Суши Даром,от 110 000 до 200 000 ₽,https://career.habr.com/vacancies/1000155616,Бэкенд разработчик • Средний (Middle) • PHP • SQL • MySQL • Базы данных • Разработка программного обеспечения
Middle+ / Senior Backend-разработчик PHP,Notamedia,,https://career.habr.com/vacancies/1000156171,Бэкенд разработчик • Средний (Middle) • PHP • Git • PostgreSQL
